lam,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294
QP22,127.916,697.188,588.2,421.952,179.216,283.68,300.864,295.66,420.8,304.456,211.088,588.564,1190.972,1178.1,1205.824,1248.124,1258.056,1941.404,2594.376,2353.276,1892.076,1481.08,1090.984,927.44,647.164,594.408,436.184,474.244,639.092,684.064,737.648,538.02,699.376,1351.34,1290.596,898.14,1067.336,1159.764,1079.476,1217.344,1026.576,431.796,422.632,563.8,1003.156,935.02,1515.412,1854.888,1810.416,984.288,856.36,1284.896,1744.548,2046.856,1153.128,2716.388,4446.928,3426.952,4135.616,3447.776,1453.188,551.5,313.856,355.064,965.764,1233.888,725.744,694.6,911.08,1449.896,1455.18,1159.76,947.5,772.916,761.228,600.016,510.2,471.14,490.9,324.008,305.732,484.368,412.34,455.784,773.94,948.328,776.244,996.992,1403.392,1300.456,549.848,460.976,460.736,756.952,610.32,596.856,105.572,490.228,372.688,363.6,858.012,993.168,870.732,761.692,585.312,528.784,494.22,453.26,450.3,642.316,975.276,1050.656,735.404,685.484,405.78,280.796,228.548,253.984,336.936,256.76,134.468,120.008,447.032,538.352,656.104,635.656,659.992,256.576,286.216,339.516,468.544,500.424,344.908,246.696,641.528,548.924,537.056,437.936,289.476,344.88,355.06,271.528,584.292,292.828,286.348,244.84,225,295.824,318.992,331.728,168.88,187.132,240.292,241.336,243.824,201.652,228.792,176.924,205.256,192.04,288.14,223.524,195.9,291.064,235.332,577.48,696.372,566.74,573.456,249.34,535.424,365.308,241.096,232.604,327.344,418.768,265.584,152.556,255.84,192.632,102.936,120.172,199.456,185.488,160.868,419.488,501.488,239.756,200.396,219.552,300.276,227.056,189.856,279.904,185.06,237.548,230.188,221.972,264.756,336.564,439.82,455.48,835.976,555.704,613.296,716.468,242.696,236.164,425.904,425.992,294.428,298.492,540.68,616.58,834.736,1083.64,653.02,713.484,628.672,448.836,291.52,528.148,710.572,318.776,188.78,212.272,272.5,98.492,98.576,94.44,199.26,415.004,310.128,199.94,265.196,211.676,186.384,140.384,170.172,185.14,161.572,166.084,276.316,393.964,374.596,344.176,428.68,255.988,406.72,446.064,425.652,496.652,324.584,214.356,213.448,270.736,546.26,545.116,620.608,561.168,513.264,254.772,289.812,310.016,277.764,399.428,457.312,331.244,375.596,603.744,661.096,446.556,483.516,832.884,380.684,623.96,1014.716,398.648,330.46,468.204,589.232,405.912,279.96,161.564,142.224,168.504,121.34,201.02,200.244,205.756,154.496,178.96,210.916,254.612
QP28,70.488,326.984,275.164,204.36,79.544,125.608,134.248,127.768,178.156,138.904,100.74,258.092,548.124,545.292,560.084,567.872,571.732,850.668,1106.04,1024.252,780.4,601.672,462.344,404.944,268.216,247.324,198.668,215.448,264.504,289.836,311.132,217.78,284.912,599.312,592.176,408.212,437.784,449.992,392.72,441.492,396.308,167.232,168.664,234.96,500.188,456.152,722.592,906.528,885.444,466.964,413.252,554.552,779.516,942.208,471.524,1345.568,2472.088,1748.168,2097.136,1671.664,690.196,231.44,115.672,131.24,376.308,491.492,302.58,325.388,415.316,626.556,645.524,502.94,415.128,339.968,339.496,254.304,232.436,205.008,224.24,147.484,146.824,214.136,178.724,192.192,353.736,464.06,381.676,496.816,721.052,667.764,256.092,222.064,232.816,368.468,279.828,272.788,53.276,232.596,176.036,177.952,419.872,486.716,426.672,369.94,279.448,241.028,226.052,215.016,212.076,313.08,483.908,519.996,358.976,333.288,197.488,135.048,112.488,123.824,162.272,134.84,67.848,61.908,202.956,253.584,301.84,285.94,259.42,113.5,138.132,163.556,229.12,244.344,168.8,116.608,301.872,262.072,262.268,214.656,144.4,165.632,171.972,130.888,292.708,146.084,140.58,112.88,105.204,139.94,161.9,167.808,86.204,91.576,118.612,115.348,123.776,102.932,114.448,91.456,102.884,95.488,139.208,110.596,95.864,143.796,120.032,284.764,342.02,283.052,283.604,116.644,242.776,164.412,108.724,103.18,149.6,197.288,123.708,74.4,124.056,93.592,53.412,62.524,97.028,91.876,79.024,207.02,250.284,113.652,96.992,105.472,146.26,107.272,91.864,125.26,89.104,112.996,107.028,101.348,119.192,163.244,216.224,224.276,414.664,269.136,302.796,362.308,119.332,117.324,207.392,200.376,146.312,145.044,258.524,260.3,362.824,498.22,318.764,323.064,277.252,206.748,140.632,243.06,332.92,152.128,91.104,103.176,131.888,49.252,48.612,45.184,93.476,193.204,144.728,95.668,123.96,101.188,88.136,68.616,82.108,89.644,80.34,80.328,129.016,185.22,174.352,161.652,191.836,122.548,186.536,211.592,198.708,231.724,161.996,106.108,103.792,118.432,261.424,256.82,279.68,268.832,245.992,127.48,144.404,148.52,131.904,188.208,209.552,146.588,169.692,275.264,293.476,200.372,228.368,376.32,171.536,294.556,485.572,183.456,151.408,213.36,270.3,187.756,134.832,78.672,73.3,84.564,62.452,97.016,95.976,100.42,77.192,88.776,102.568,125.604
QP34,37.968,169.672,145.992,105.164,40.928,62.948,65.888,63.168,80.688,65.632,48.016,113.232,278.148,285.956,286.684,291.828,288.6,374.712,475.204,443.404,323.9,247.724,205.42,186.4,121.972,109.444,89.492,96.948,117.268,128.716,135.248,88.512,115.052,253.392,269.092,187.884,174.032,175.572,144.812,163.844,158.156,72.944,74.208,102.648,253.116,230.264,318.576,404.88,396.8,227.428,209.052,224.652,332.168,397.668,183.04,598.74,1256.072,816.908,939.192,744.196,324.728,98.068,40.488,46.788,140.364,181.088,123.068,150.74,197.1,284.02,300.544,214.688,175.876,149.412,148.716,110.74,108.588,94.34,108.42,74.16,78.336,110.968,90.528,96.3,166.964,227.224,196.82,251.624,363.304,341.7,129.756,120.18,124,181.736,136.148,129.896,30.22,122.34,98.312,91.908,211.772,239.904,216.12,185.22,142.108,119.748,114.524,110.26,111.956,163.808,247.008,261.044,181.18,169.804,103.476,73.124,62.344,69.9,87.104,73.264,38.464,34.976,106.484,133.212,154.944,144.94,120.7,58.084,71.86,82.536,110.608,117.612,84.988,60.18,146.364,132.96,130.668,108.276,77.976,87.792,91.868,68.956,151.208,80.036,74.708,59.156,53.496,72.46,87.328,90.108,47.84,49.48,65.3,60.1,68.192,55.788,60.948,50.724,55.072,51.888,71.644,60.652,53.104,75.932,64.32,145.148,169.448,144.788,145.556,59.472,119.224,79.188,54.852,52.052,78.548,100.9,64.292,41.12,65.748,51.024,30.916,35.924,52.604,50.096,42.944,105.096,129.236,57.168,50.06,55.02,75.04,54.828,48.852,63.712,46.192,57.264,55.476,51.808,59.536,83.272,108.68,115.616,212.904,139.36,161.908,194.516,65.784,63.12,107.832,98.528,78.076,77.764,135.292,112.712,155.752,227.124,154.904,143.004,122.384,93.852,68.94,112.308,159.348,77.924,46.76,52.812,68.712,27.496,27.412,24.652,46.848,99.656,76.368,51.608,62.7,55.408,45.48,37.692,44.9,48.84,45.78,42.448,65.988,91.752,90.472,82.456,100.412,68.588,87.428,107.244,105.732,115.604,89.104,57.316,55.056,54.488,133.468,124.564,125.292,129.328,118.6,64.544,72.396,74.188,66.68,92.56,98.62,70.008,78.044,126.6,139.072,94.588,110.688,176.152,83.104,141.116,234.32,89.068,78.196,99.084,125.052,86.88,65.604,40.268,38.58,44.82,33.752,47.464,48.336,50.264,39.556,46.524,53.084,64.544
QP38,25.44,108.264,96.252,66.52,26.932,39.892,40.532,39.116,47.744,39.768,30.484,64.696,172.252,177.888,178.108,181.3,179.828,214.816,265.16,247.864,176.564,134.824,116.84,107.468,68.808,61.928,49.08,54.052,66.236,73.536,76.392,47.008,62.392,141.088,155.568,110.472,95.536,98.932,79.704,91.3,93.8,44.74,47.036,61.644,167.692,155.884,192.312,238.772,236.388,153.412,140.804,119.756,180.8,215.384,92.536,316.02,743.18,456.404,493.468,410.448,198.308,58.092,19.644,23.08,72.532,91.38,66.972,90.904,120.92,179.944,183.124,123.78,101.16,87.452,90.676,66.624,65.156,56.952,66.06,48.056,51.68,73.38,62.632,63.408,102.808,141.492,127.736,157.936,223.036,215.832,82.132,81.812,81.7,119.856,84.368,77.68,22.408,81.732,68.66,60.288,135.056,146.232,138.316,121.664,92.356,73.46,70.244,76.172,73.68,106.984,156.716,162.616,114.5,107.908,67.324,48.744,41.608,49.056,57.428,48.448,26.412,23.448,72.136,93.088,102.892,99.772,78.408,38.984,49.364,54.464,67.2,71.052,53.184,39.708,89.76,85.904,84.092,68.112,51.468,59.36,61.188,44.884,99.3,55.788,50.22,38.332,34.32,46.88,58.42,60.608,32.036,33.484,44.816,39.892,46.544,37.244,40.264,34.068,36.564,34.212,46.172,40.804,36.7,50.972,43.332,92.148,106.78,91.3,92.748,39.064,78.124,52.276,35.56,33.96,51.844,64.216,41.864,28.492,44.744,35.24,21.276,24.384,35.392,33.836,28.952,65.352,81.148,37.6,32.856,35.92,48.116,35.704,32.576,41.14,31.56,37.524,36.372,33.948,37.552,53.444,67.492,77.04,140.948,93.52,110.056,132.244,44.084,41.392,66.964,63.032,51.2,52.844,93.372,65.024,87.344,137.776,96.892,84.512,68.672,55.128,40.428,64.904,95.536,50.528,30.056,34.988,47.1,19.092,20.544,17.076,30.392,63.476,49.76,35.292,41.564,37.004,29.624,24.98,30.32,32.512,30.604,28.508,43.632,59.808,60.672,55.188,70.7,46.588,51.884,72.188,70.6,74.736,60.248,38.872,36.168,34.232,87.324,76.388,73.084,77.98,70.04,40.276,43.072,44.664,40.748,57.416,62.084,42.876,49.668,74.46,87.724,59.308,69.02,108.532,53.388,87.688,142.928,56.908,50.168,57.772,72.976,50.86,39.668,25.484,24.856,29.06,21.668,29.832,29.856,32.268,26.028,30.772,37.232,42.552
QP42,15.852,71.704,65,42.156,15.4,21.516,22.02,20.764,27.856,24.112,19.848,36.408,101.18,105.768,105.08,107.412,106.772,123.38,148.608,139,96.252,75.448,66.432,61.704,37.792,34.384,26.892,30.012,37.516,42.156,43.756,24.904,34.392,79.656,90.856,67.02,54.764,59.584,48.728,58.36,58.328,30.6,29.68,38.936,118.056,108.988,121.368,142.744,143.572,103.076,99.952,64.752,99.624,117.16,47.3,156.216,408.7,239.348,245.06,216.508,123.764,33.764,10.816,13.38,38.448,47.524,38.536,55.876,71.176,117.348,121.74,74.46,60.104,54.472,58.408,41.372,40.48,34.592,42.388,32.408,34.432,48.984,42.824,42.98,62.78,87.504,86.268,99.14,139.124,134.184,51.484,54.768,55.356,82.452,54.78,46.564,17.48,56.772,51.804,40.144,88.284,90.092,88.304,78.076,61.192,45.632,43.592,53.676,49.672,69.092,99.712,102.5,74.316,70.772,44.868,32.36,25.92,34.02,37.048,31.876,17.936,16.04,49.72,68.744,72.052,69.028,52.472,27,34.028,38.212,41.952,44.524,34.772,26.764,55.112,55.24,57.368,44.004,33.656,39.036,41.44,30.876,66.66,39.232,35.804,26.18,23.036,32,39.584,41.604,23.608,23.384,31.944,27.472,31.568,25.124,29.12,24.148,24.688,23.196,30.74,28.96,25.6,34.832,30.24,57.42,65.804,57.576,60.6,26.204,52.572,36.492,24.752,22.464,35.32,41.468,29.184,19.812,31.788,24.544,15.244,17.428,23.688,23.072,19.832,40.004,49.476,25.412,22.176,23.8,31.216,24.184,21.98,28.672,22.132,24.98,25.512,23.724,26.112,35.088,41.876,50.808,94.032,64.228,79.376,90.932,30.584,28.216,42.472,41.076,34.272,35.772,66.34,38.096,51.812,85.448,61.948,53.048,41.484,30.304,25.64,39.072,59.948,34.716,19.9,22.924,29.808,15.208,16.816,13.652,21.16,41.732,34.356,24.664,28.32,25.184,20.956,17.832,21.324,22.34,22.084,20.208,29.796,40.016,41.336,37.4,51.196,31.56,31.612,49.352,49.96,47.924,41.028,26.068,23.82,23.032,57.76,48.06,44.28,47.772,43.1,23.552,25.564,26.656,24.636,36.316,38.428,27.892,32.98,47.428,58.056,38.352,43.752,70.972,36.776,54.42,87.084,38.84,34.004,34.436,44.172,30.116,24.34,17,18.688,21.276,15.86,19.82,18.412,20.416,17.5,21.66,26.696,29.916
QP48,8.468,33.752,33.388,21.784,7.956,10.416,10.688,9.092,15.796,14.844,12.776,15.716,40.812,43.732,43.24,43.464,43.8,52.528,62.796,59.332,42.068,31.636,29.724,28.276,16.556,16.296,12.916,14.82,18.412,19.848,20.38,11.948,15.4,35.676,43.04,33.276,26.908,30.236,26.528,31.476,31.68,18.028,18.664,20.796,61.932,55.228,51.88,57.944,59.128,51.704,51.656,24.872,40.828,46.488,18.816,51.3,147.02,82.324,69.832,70.756,56.504,16.224,7.964,8.756,17.324,18.504,19.016,26.64,30.048,50.168,62.132,36.952,29.924,28.168,31.48,20.452,20.052,17.724,21.596,19.972,19.184,25.144,23.204,24.256,31.564,41.524,46.596,49.876,65.76,62.896,24.448,28.332,30.308,43.816,31.068,21.552,11.996,33.132,31.948,23.136,43.02,40.376,41.684,39.848,32.1,21.44,20.744,32.216,26.696,36.544,48.076,47.716,35.368,34.268,25.856,16.3,13.936,17.528,19.424,16.296,11.116,10.652,32.064,40.664,40.516,39.016,32.104,16.672,19.448,21.828,20.756,22.292,18.724,15.316,27.068,29.732,30.536,22.984,18.72,19.38,20.728,17.824,35.9,23.156,20.656,14.644,13.032,19.04,23.092,23.636,15.084,13.464,19.456,16.116,18.232,14.492,18.94,15.076,15.532,14,17.1,16.764,14.376,20.44,18.648,29.26,31.46,26.96,29.804,14.808,29.476,20.32,14.972,13.42,18.272,20.644,17.844,13.196,18.932,14.748,10.028,11.232,14.688,14.212,12.296,19.072,23.492,15.168,13.332,14.448,18.456,14.596,14.144,17.82,14.376,14.596,15.996,14.684,16.032,20.144,20.696,27.22,48.976,36.368,47.26,50.904,17.876,16.444,22.332,23.208,19.656,20.74,39.252,18.732,23.016,43.9,34.36,27.932,21.16,14.464,15.088,19.472,30.912,18.22,12.936,14.016,15.296,11.94,12.796,11.448,13.796,23.912,19.364,15.888,17.296,15.76,13.316,12.024,15.012,14.388,15.08,13.712,18.476,22.856,23.268,21.912,31.232,21.524,20.648,31.964,29.6,25.428,26.408,14.92,13.588,13.52,30.828,26.12,21.904,25.82,21.008,12.716,14.656,13.96,13.068,19.424,21.616,15.648,16.732,24.472,29.848,20.124,22.668,34.7,20.516,28,41.02,22.152,20.688,17.88,20.908,15.124,13.204,10.58,12.268,13.344,10.84,11.936,11.18,11.796,11.02,13.288,16.2,18.304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP22,60.632,40.2,53.62,136.812,175.164,146.136,222.98,5546.676,5422.364,5134.312,5039.708,5173.532,4648.884,4785.076,5758.692,5398.756,4692.768,4861.38,5419.604,4980.672,4840.464,4920.156,5049.076,4581.612,3464.6,3479,3703.592,3681.972,3760.6,4335.648,3994.664,3690.156,3531.38,3625.488,3462.908,4059.732,5018.68,5421.78,5199.208,4639.692,4908.5,4849.916,3805.74,5431.948,8253.432,10110.252,11147.188,11162.028,10891.86,10460.948,9804.08,8995.148,8135.736,5478.04,3893.836,3852.004,3858.76,3914.136,3811.996,3798.156,4686.872,5678.828,5803.868,5795.24,6042.448,5210.044,4621.864,4258.452,4410.716,4419.184,4435.936,4537.996,4581.748,4480.756,4729.712,4928.376,5279.42,5340.52,5340.376,5354.504,5549.652,5412.392,6502.164,9095.2,10659.324,10282.98,10642.9,11971.008,12588.332,12706.412,11936.396,11255.012,7485.668,9332.648,10645.576,11071.744,10608.936,10940.44,10553.08,10161.556,9421.04,7377.908,7061.532,7292.496,7482.948,7618.792,7665.788,7225.588,9122.732,12131.672,9778.164,10091.692,9975.788,9092.884,12737.76,12930.844,11404.74,11207.048,10224.708,9282.58,8111.288,8105.296,7127.472,7492.188,8557.224,9872.396,10816.136,11353.44,12065.524,12347.064,12003.124,11563.908,11504.24,11077.424,5737.384,4931.532,4523.672,4432.604,5058.848,5379.544,6548.844,6163.428,6223.052,4050.844,2737.32,2831.284,2716.244,2005.708,1855.468,1824.02,2003.608,3498.444,2931.88,4274.204,4442.668,4423.072,4586.24,4767.4,4629.968,4227.12,3916.232,3550.268,4365.336,4605.1,4174.932,4020.548,4932.844,4001.5,4576.504,4287.636,4565.428,4503.864,4612.852,8245.516,8918.012,10054.396,11467.136,13330.348,12269.088,10956.748,8050.212,4246.156,4272.532,4263.636,4369.22,4300.364,4609.36,6474.284,7218.76,7752.516,8037.62,9023.628,9550.836,9709.3,9335.524,8854.392,8499.612,7396.744,6644.824,6463.312,3745.476,2521.188,2341.236,4772.632,6841.936,8284.268,7372.42,8479.604,10967.284,11571.196,10495.048,7360.708,5583.924,7134.036,7274.288,7444.24,10106.432,7958.764,6910.692,6836.084,6411.48,6124.46,5348.312,3947.696,4143.968,4500.032,5982.044,4562.592,6366.504,5142.232,7055.304,5712.972,5234.684,3958.36,3002.472,4798.76,5475.244,4486.016,5262.068,5626.956,4902.236,4537.308,4600.66,3652.776,4350.352,5165.084,4868.904,5378.38,4047.084,4444.92,3821.424,5545.18,5179.62,3869.992,2830.02,2728.396,2596.44,3487.948,4035.132,3957.992,9132.52,9800.932,8221.688,7018.832,7237.848,7629.364,7806.032,8018.376,1203.536,1146.56,1146.116,1155.292,1173.688,1169.936,1167.728,1168.88,1181.44,1175.18,1184.588,1047.116,79.028,105.156,272.056,228.468,429.056,358.156,494.544,265.828,209.244,432.024,257.4,399.504,101.248,78.852
