lam,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294
QP28,41.22,32.196,38.976,85.22,123.464,109.22,140.02,2053.392,1986.608,1947.868,1843.44,1788.6,1731.94,1843.28,2081.336,1994.212,1790.644,1793.88,2082.856,1870.672,1799.036,1850.004,1933.76,1949.56,1559.568,1556.78,1679.448,1642.368,1676.032,1958.772,1774.268,1607.672,1556.528,1609.744,1552.04,1827.576,1859.312,1864.572,1789.292,1633.884,1683.072,1638.032,1421.276,2281.964,3154.372,3825.228,4290.316,4433.308,4242.7,3973.408,3637.284,3342.484,2992.684,2485.644,1894.828,1882.684,1866.468,1872.74,1855.528,1845.324,2336.74,2379.312,2316.564,2295.336,2273.944,2042.664,1814.112,1665.076,1690.716,1703.712,1741.964,1752.64,1750.432,1761.936,1887.74,1956.02,2054.6,2133.36,2170.352,2171.124,2219.68,2208.452,2805.468,3521.224,3943.596,3747.796,3904.492,4592.66,4943.724,5040.364,4869.164,4654.608,2899.532,3305.588,3822.664,3935.676,4037.86,4048.968,3903.012,3831.828,4248.152,3615.348,3489.548,3567.436,3586.236,3709.964,3690.52,3519.444,4255.6,5834.908,4407.94,4153.384,4084.664,3624.9,5563.68,5548.372,4701.712,4649.604,4336.884,3977.78,3214.572,3063.836,2488.308,2655.5,3180.432,3955.612,4440.476,4718.84,5244.832,5431.54,5109.78,4801.028,4769.66,4751.22,2301.468,1932.528,1850.908,1827.088,2013.336,2108.044,2629.224,2498.544,2511.096,1694.408,1156.172,1207.048,1152.796,895.856,826.412,850.644,987.936,1779.808,1401.356,2067.748,2206.744,2235.776,2253.14,2292.412,2201.056,2001.468,1873.588,1757.428,2288.208,2468.376,2160.44,1962.22,2090.664,1695.78,1947.268,1849.448,1928.98,1859.656,1928.416,3637.784,3602.74,3870.632,4449.604,5656.196,5273.72,4965.712,3585.416,1964.748,1977.604,1979.976,2034.928,2033.96,2140.108,2602.048,2870.844,3057.892,3089.844,3459.404,3719.108,3734.444,3586.716,3410.848,3260.016,3049.188,3051.632,2665.452,1616.952,1099.868,1026.62,2006.888,2634.168,3064.588,3079.696,3987,5263.184,5767.88,5159.98,3486.452,2654.432,3402.112,3070.672,3147.168,4939.84,3724.192,3327.336,3354.44,3129.62,2965.816,2461.828,1782.564,1930.764,2071.316,2749.256,2148.648,3119.508,2500.252,3534.532,2738.636,2387.976,1785.524,1313.888,2287.356,2555.364,1938.908,2445.232,2574.848,2308.336,2139.884,2084.996,1527.652,1941.912,2493.976,2573.184,2732.904,2089.628,2243.948,2027.24,2892.644,2708.08,1815.692,1376.344,1352.68,1263.336,1713.764,2010.968,1950.828,3509.644,3626.48,3006.724,2595.94,2744.092,2923.956,3050.9,3144.908,538.132,537.2,540.62,541.764,548.324,548.468,549.42,550.856,553.48,553.196,555.968,468.108,53.96,62.28,168.876,164.08,241.196,249.008,300.36,166.356,149.02,238.152,184.8,230.264,67.176,60.456
QP34,28.116,25.06,28.4,51.052,81.816,76.848,82.064,786.836,799.612,763.032,742.6,708.324,703.212,747.476,818.908,771.332,715.428,722.388,843.248,763.812,750.36,757.4,783.4,962.736,791.78,793.052,856.516,840.432,849.38,997.088,900.204,819.516,788.464,818.98,794.272,904.46,791.716,720.764,699.224,653.98,688.26,695.936,655.156,1091.036,1435.168,1700.516,1895.896,1942.7,1864.072,1761.428,1623.692,1478.684,1336.628,1154.728,917.752,911.3,906.496,907.104,901.86,896.448,1103.576,1055.12,1003.492,986.528,951.272,864.472,782.596,726.812,734.824,745.516,760.152,759.036,766.784,781.172,826.78,854.892,885.832,932.716,951.68,941.452,953.204,953.436,1199.716,1460.372,1614.212,1532.164,1586.436,1820.492,2016.324,2108.7,2042.068,2010.752,1256.692,1402.224,1578.208,1589.14,1652.996,1665.444,1594.296,1568.676,1850.488,1865.06,1817.848,1851.164,1850.208,1888.564,1905.928,1832.452,2063.644,2423.34,2009.972,1731.464,1713.04,1566.232,2455.408,2405.148,2054.544,2046.484,1890.584,1703.148,1202.248,1143.232,939.94,1053.292,1272.42,1650.752,1874.676,1968.416,2138.7,2205.412,2156.884,2051.272,2037.224,2025.44,1144.776,978.024,932.5,934.528,978.028,989.312,1218.956,1183.748,1219.644,849.228,607.18,632.528,601.768,475.52,446.392,456.896,531.516,889.316,696.256,951.356,1004.328,967.184,992.032,1028.736,998.676,940.508,889.892,837.02,1067.076,1152.836,1009.516,904.14,973.332,802.828,923.496,876.292,884.148,861,897.084,1658.184,1627.548,1733.148,1967.74,2460.82,2337.18,2247.12,1671.676,997.332,1002.176,1000.424,1028.532,1033.296,1067.356,1156.104,1260.232,1331.452,1330.128,1455.848,1551.54,1575.708,1515.252,1457.524,1383.656,1369.088,1510.1,1120.72,778.952,565.1,531.628,889.776,1037.572,1221.356,1358.164,1897.344,2407.8,2771.504,2407.26,1685.988,1287.26,1664.204,1367.26,1413,2305.708,1797.484,1693.36,1696.772,1608.944,1519.236,1241.204,856.632,927.036,990.584,1300.48,1006,1501.54,1193.808,1596.844,1298.496,1093.24,862.724,636.424,1097.98,1216.304,918.908,1150,1211.38,1098.904,1033.44,976.604,734.696,930.252,1211.296,1291.36,1379.596,1062.644,1146.312,1063.764,1479.008,1419.804,903.832,697.924,690.612,629.668,872.824,980.376,1013.74,1487.752,1572.476,1309.292,1082.724,1078.772,1146.368,1208.448,1259.46,294.708,297.56,298.112,299.124,301.864,301.752,303.652,304.792,306.98,306.252,306.616,288.584,35.176,38.64,97.42,111.568,131.928,164.216,187.06,96.88,100.168,130.724,123.756,136.888,43.22,42.828
QP38,24.264,21.872,23.892,35.632,61.66,59.476,57.164,445.836,461.78,429.132,422.688,413.484,403.532,424.476,458.352,429.532,407.056,419.004,477.356,442.784,441.9,444.356,451.056,624.364,518.944,519.752,555.064,549.332,556.1,648.052,585.128,533.668,516.252,531.356,518.992,577.464,495.508,448.792,435.808,402.772,430.444,456.98,421.328,696.836,908.368,1040.384,1126.736,1127.344,1073.136,998.14,918.832,827.232,753.492,670.524,545.252,541.24,538.26,535.072,532.912,530.128,658.572,655.692,626.48,611.52,582.576,531.404,484.44,450.412,451.8,454.676,467.384,468.188,470.348,481.672,505.284,523.152,548.484,579.1,585.244,566.884,573.9,572.624,699.016,833.288,938.62,895.688,908.636,1030.344,1137.44,1184.784,1164.436,1158.268,737.288,842.336,946.58,952.676,987.344,988.808,954.7,923.056,1119.236,1187.972,1158.364,1174.212,1176.368,1204.528,1209.596,1168.716,1279.884,1446.76,1224.66,1046.744,1048.868,974.232,1453.804,1392.496,1202.236,1200.908,1124.468,1011.612,664.428,646.912,524.34,591.112,695.368,879.504,1003.684,1062.884,1145.808,1170.816,1132.484,1066.728,1064.908,1098.276,737.648,643.376,623.14,630.56,664.54,660.572,805.496,775.484,799.476,547.12,402.728,423.992,401.136,317.152,305.392,315.332,366.172,560.244,449.112,598.144,635.728,602.936,612.34,633.132,621.108,578.156,544.744,532.548,671.94,722.376,633.784,563.816,609.352,512.6,587.768,552.816,548.256,549.232,559.152,1026.516,1028.692,1108.328,1234.184,1493.272,1415.436,1357.804,1019.416,612.384,613.3,615.256,635.136,638.504,656.364,699.192,760.584,810.864,811.492,878.616,929.296,943.108,918.6,885.696,838.28,831.236,940.948,1232.496,1181.084,1070.472,1035.552,1036.064,959.092,975.736,522.632,511.704,673.764,672.56,817.732,775.464,876.512,871.044,921.904,713.472,1383.332,1101.052,1054.18,1050.02,999.596,947.54,784.4,540.612,593.204,630.136,818.208,657.716,945.672,749.06,999.972,819.984,666.448,549.624,406.476,711.556,766.432,582.864,733.232,753.224,688.196,643.728,613.192,473.12,608.356,771.632,836.82,877.668,691.668,753.348,714.32,966.596,937.688,592.672,460.708,453.812,415.752,582.42,646.664,675.876,810.272,878.288,736.136,571.136,537.384,564.104,610.22,650.016,199.224,204.24,204.96,206.74,206.72,208.476,208.868,208.868,210.152,211.36,211.284,202.632,28.276,30.904,65.36,83.592,85.868,115.712,126.608,64.372,72.632,85.768,92.528,97.536,32.904,34.084
QP42,24.264,21.872,23.892,35.632,61.66,59.476,57.164,445.836,461.78,429.132,422.688,413.484,403.532,424.476,458.352,429.532,407.056,419.004,477.356,442.784,441.9,444.356,451.056,624.364,518.944,519.752,555.064,549.332,556.1,648.052,585.128,533.668,516.252,531.356,518.992,577.464,495.508,448.792,435.808,402.772,430.444,456.98,421.328,696.836,908.368,1040.384,1126.736,1127.344,1073.136,998.14,918.832,827.232,753.492,670.524,545.252,541.24,538.26,535.072,532.912,530.128,658.572,655.692,626.48,611.52,582.576,531.404,484.44,450.412,451.8,454.676,467.384,468.188,470.348,481.672,505.284,523.152,548.484,579.1,585.244,566.884,573.9,572.624,699.016,833.288,938.62,895.688,908.636,1030.344,1137.44,1184.784,1164.436,1158.268,737.288,842.336,946.58,952.676,987.344,988.808,954.7,923.056,1119.236,1187.972,1158.364,1174.212,1176.368,1204.528,1209.596,1168.716,1279.884,1446.76,1224.66,1046.744,1048.868,974.232,1453.804,1392.496,1202.236,1200.908,1124.468,1011.612,664.428,646.912,524.34,591.112,695.368,879.504,1003.684,1062.884,1145.808,1170.816,1132.484,1066.728,1064.908,1098.276,737.648,643.376,623.14,630.56,664.54,660.572,805.496,775.484,799.476,547.12,402.728,423.992,401.136,317.152,305.392,315.332,366.172,560.244,449.112,598.144,635.728,602.936,612.34,633.132,621.108,578.156,544.744,532.548,671.94,722.376,633.784,563.816,609.352,512.6,587.768,552.816,548.256,549.232,559.152,1026.516,1028.692,1108.328,1234.184,1493.272,1415.436,1357.804,1019.416,612.384,613.3,615.256,635.136,638.504,656.364,699.192,760.584,810.864,811.492,878.616,929.296,943.108,918.6,885.696,838.28,831.236,940.948,1232.496,1181.084,1070.472,1035.552,1036.064,959.092,975.736,522.632,511.704,673.764,672.56,817.732,775.464,876.512,871.044,921.904,713.472,1383.332,1101.052,1054.18,1050.02,999.596,947.54,784.4,540.612,593.204,630.136,818.208,657.716,945.672,749.06,999.972,819.984,666.448,549.624,406.476,711.556,766.432,582.864,733.232,753.224,688.196,643.728,613.192,473.12,608.356,771.632,836.82,877.668,691.668,753.348,714.32,966.596,937.688,592.672,460.708,453.812,415.752,582.42,646.664,675.876,810.272,878.288,736.136,571.136,537.384,564.104,610.22,650.016,199.224,204.24,204.96,206.74,206.72,208.476,208.868,208.868,210.152,211.36,211.284,202.632,28.276,30.904,65.36,83.592,85.868,115.712,126.608,64.372,72.632,85.768,92.528,97.536,32.904,34.084
QP48,17.076,17.744,17.912,19.312,33.42,34.036,27.096,153.612,155.948,135.704,134.92,136.608,134.932,136.588,148.64,140.728,137.828,138.808,160.076,153.024,153.332,158.756,156.872,233.816,205.648,202.572,215.252,212.772,212.868,235.04,236.576,218.744,209.644,207.572,203.564,226.32,223.752,236.976,228.62,206.552,205.368,213.052,179.668,261.124,349.484,379.38,396.808,385.54,358.004,324.092,293.332,262.216,235.04,187,143.992,143.964,144.256,144.1,144.096,143.68,185,213.44,215.484,211.284,204.42,185.188,166.592,154.952,151.04,151.036,151.092,155.128,157.644,162.356,168.292,171.104,175.232,177.9,180.14,182.236,183.552,184.588,205.516,247.304,297.08,281.64,272.78,311.12,331.356,341.9,324.352,322.512,236.908,270.66,306.848,308.296,323.824,313.968,302.768,293.776,357.272,390.748,388.208,391.86,391.804,406.572,401.12,393.448,440.488,582.416,530.232,388.868,393.356,357.968,440.764,411.04,367.684,366.32,343.652,297.512,143.804,136.868,113.872,109.94,124.608,143.012,164.404,166.096,148.964,132.844,127.152,129.896,145.128,201.02,323.672,276.648,260.936,265.608,303.148,306.24,361.52,338.664,349.148,235.816,167.088,176.172,168.844,151.712,153.336,155.364,162.268,183.028,171.3,223.568,252.708,245.612,243.692,248.896,226.796,212.644,199.828,216.36,248.944,266.816,239.444,215.172,230.608,204.176,227.808,213.328,209.064,210.344,208.008,380.344,385.548,411.784,451.392,534.092,482.868,453.4,348.508,196.5,195.78,197.272,204.044,205.72,210.376,239.148,271.144,293.556,298.84,323.604,339.388,341.06,331.66,322.66,313.268,281.004,313.868,315.472,241.172,165.896,157.36,249.508,274.852,305.708,299.04,418.6,497.892,536.552,432.452,338.976,253.496,366.596,308.496,306.716,424.404,336.076,327.492,323.164,312.132,297.108,261.624,182.432,203.112,236.052,287.028,243.756,315.956,266.812,362.484,285.372,207.688,187.024,137.912,244.612,277.98,205.928,253.448,260.636,228.732,200.472,203.496,176.98,217.564,260.672,312.196,296.248,255.972,285.26,274.08,347.08,336.044,231.28,200.188,188.656,173.476,241.624,252.84,280.78,166.468,206.3,184.036,131.836,105.016,93.788,105.148,110,96.584,97.4,98.408,98.78,99.032,100.004,99.84,99.764,100.428,100.508,101.188,95.396,20.232,21.012,25.328,41.432,29.044,50.812,50.104,26,33.516,32.144,46.896,43.304,19.364,21.416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP22,6.496,247.644,236.376,192.636,162.804,174.064,71.376,74.936,64.312,573.56,64.176,34.336,142.212,244.252,366.828,749.556,951.94,814.792,1002.4,1131.08,1199.3,1016.396,1074.876,1177.02,1234.364,1068.684,663.536,412.412,277.164,187.14,111.852,62.692,37.428,30.516,27.124,40.496,58.46,102.456,106.252,102.708,125.892,317.26,518.84,502.668,521.52,417.332,518.292,450.028,1084.28,1108.356,1510.7,1368.08,1445.236,1267.44,1604.972,1825.404,700.996,701.004,718.192,427.552,524.004,566.364,686.892,551.344,487.96,426.2,437.34,290.468,372.988,635.472,1252.008,898.188,897.64,490.696,903.516,975.436,1000.996,769.76,698.912,153.404,271.664,1155.62,1090.948,1122.832,1032.84,646.3,240.552,255.088,238.848,272.576,281.052,394.232,954.872,325.54,282.176,621.208,793.184,414.408,334.356,477.6,247.692,648.924,580.584,655.764,300.076,499.172,877.232,967.396,719.488,721.532,404.752,564.796,613.56,432.876,609.036,633.896,886.94,542.832,656.06,498.676,528.08,364.432,486.396,677.62,763.492,676.124,565.408,749.136,354.948,674.7,726.176,442.464,755.412,997.196,744.52,433.012,252.148,209.876,134.448,307.952,396.492,448.86,253.952,177.564,736.24,890.036,869.772,817.628,614.588,372.76,240.156,373.88,360.628,350.452,334.236,467.992,782.544,735.18,566.588,707.924,738.68,710.224,773.66,826.024,566.632,274.464,281.328,377.516,264.536,350.98,363.972,225.668,262.168,84.484,98.904,96.86,216.944,306.036,205.02,196.492,243.744,264.088,116.104,319.588,200.752,280.6,428.368,332.136,296.364,345.984,317.436,123.684,115.428,158.916,252.06,156.32,232.74,246.856,159.98,80.368,80.844,117.268,114.676,66.764,35.088,36.532,57.576,65.76,67.384,93.364,116.116,135.388,287.628,391.38,254.304,291.184,504.36,275.224,67.056,279.592,483.788,269.26,198.06,197.048,297.62,380.624,273.36,413.756,334.452,302.46,301.776,389.804,353.584,165.928,198.14,231.4,237.232,379.696,973.092,2050.6,301.508,182.164,246.616,246.776,276.656,284.356,325.772,399.876,378.32,313.292,299.472,234.38,309.836,299.152,326.172,96.608,63.936,149.62,145.98,144.468,480.4,384.916,86.908,113.464,169.14,169.776,176.276,660.828,166.06,190.788,171,388.352,243.58,246.928,160.084,207.748,319.88,305.088,218.232,226.916,276.968,230.064,258.82,109.608,160.56,284.36,410.112,439.388,381.296,390.74,448.824,372.044,83.704,78.828
QP28,6.136,125.512,129.096,92.808,82.616,91.756,37.068,49.112,41.82,289.76,26.388,12.548,64.116,111.656,165.428,319.452,388.024,336.208,425.672,471.492,495.62,418.592,452.48,488.216,506.24,431.084,266.16,173.132,112.936,73.828,42.152,21.848,12.744,10.076,9.408,12.6,18.88,42.492,46.852,47.892,63.02,152.328,253.652,237.216,246.708,200.476,249.184,205.136,511.752,534.104,797.464,661.048,712.664,613.444,794.272,913.852,357.868,339.136,343.468,197.364,251.032,277.16,318.268,216.74,199.608,212.92,213.064,145.116,186.072,267.16,619.964,406.8,437.22,232.288,450.864,487.904,501.88,401.684,341.66,63.272,123.796,572.976,540.84,564.272,501.388,286.02,114.092,125.912,118.128,135.052,144.256,202.068,501.9,168.076,139.22,303.692,395.604,203.248,163.028,222.428,123.572,315.348,283.42,318.356,146.856,247.288,438.184,503.552,362.5,363.968,196.644,278.196,286.168,222.5,301.38,316.636,456.708,283.628,340.004,249.288,256.844,178.78,236.188,336.324,369.58,327.34,280.528,355.848,167.792,323.108,353.664,215.012,363.456,493.68,364.608,213.12,122.2,107.224,63.18,139.52,183.228,213.456,114.684,76.344,352.252,440.188,446.204,402.868,297.592,180.348,116.908,184.704,180.236,175.604,163.832,235.972,389.9,367.696,290.084,365.224,380.632,364.956,398.328,429.332,284.628,140.248,143.66,189.28,129.452,171.804,187.808,101.012,128.564,38.248,45.348,41.016,95.916,137.4,88.172,81.32,101.952,111.852,59.2,150.592,87.172,122.56,194.38,150.576,135.824,157.392,150.784,56.872,53.108,74.132,125.156,70.26,113.472,122.572,78.636,39.608,39.872,48.604,48.62,32.756,17.864,18.88,28.856,33.08,34.156,42.988,51.624,61.192,127.384,170.232,115.576,129.868,228.76,127.192,31.096,118.072,208.32,111.432,82.448,79.504,114.68,155.856,111.808,179.2,144.252,133.572,122.28,151.212,132.844,74.996,83.676,96.88,94.496,154.392,501.548,1115.408,139.736,73.548,99.428,100.384,105.92,115.528,126.824,163.388,160.98,125.888,124.408,98.556,131.872,127.064,150.26,45.624,30.208,68.632,67.204,68.384,223.688,183.064,44.236,56.72,82.404,78.22,84.34,328.796,77.276,91.136,82.456,189.3,127.112,122.396,80.84,103.072,154.052,149.24,106.196,113.268,135.26,113.244,129.428,52.864,81.852,141.016,206.104,213.516,180.368,184.104,208.78,168.088,33.868,31.312
